Date,Open,High,Low,Close,Volume
1/16/07,88.25,88.51,87.3,88,5537801
1/17/07,88.02,89.54,87.22,88.83,4501398
1/18/07,89.13,89.38,87.76,88,3348900
1/19/07,88.45,89.1,87.8,88.63,4368898
1/22/07,87.51,87.86,84.82,85.6,8426898
1/23/07,85.01,88.18,85,87.36,6559699
1/24/07,87.35,87.76,86.52,87.6,3368900
1/25/07,87.3,87.46,86,86.16,2850300
1/26/07,86,86.25,84.6,85.43,5149398
1/29/07,85.05,86,85,85.5,3116500
1/30/07,85.75,86.6,85.55,86,3151100
1/31/07,89.3,90.34,89,89.56,11572801
2/1/07,89.95,92.24,89.73,91.05,6622301
2/2/07,91.05,91.48,89.95,90.05,5098500
2/5/07,90.45,91.42,90.31,90.72,3028600
2/6/07,91,91,89.9,90.98,3521700
2/7/07,90.59,91.2,89.7,90.35,2814100
2/8/07,89.64,90.36,88.55,89.52,5155602
2/9/07,89.35,90.3,89.03,90,4282801
2/12/07,89.55,89.89,88.78,89.2,3449201
2/13/07,89.2,89.37,88.3,89.29,3045861
2/14/07,89.27,90.17,89.27,89.94,3866056
2/15/07,90.02,91.8,89.86,91.71,5702199
2/16/07,91.98,92,90.73,90.94,4545602
2/20/07,91.5,91.69,89.84,91.03,3940500
2/21/07,90.3,92,90.05,90.96,4971699
2/22/07,91.1,91.93,90.27,90.58,3176500
2/23/07,90.21,90.85,90,90.28,2341700
2/26/07,90.48,90.73,88.56,88.93,4537879
2/27/07,88,88.7,85.24,87.2,5950699
2/28/07,87.4,88.41,86.05,87.26,6063500
3/1/07,86.6,88.8,85.91,87.85,5151840
3/2/07,87.87,88.54,87.01,87.03,4307199
3/5/07,86.96,88.19,86.39,87.02,3787600
3/6/07,88.03,88.03,87.05,87.82,3322000
3/7/07,87.82,89.25,87.82,88.71,5205898
3/8/07,88.98,89.67,88.61,88.89,2811500
3/9/07,89.7,90.09,89.14,89.51,2820600
3/12/07,89,91.87,89,91.2,5964199
3/13/07,90.9,91.1,89.45,89.45,5247898
3/14/07,89.45,90.3,88.53,89.98,4027900
3/15/07,89.98,91.06,89.57,91.04,3513885
3/16/07,91.04,91.0418,89.68,90,5815102
3/19/07,90.5,90.95,89.9,90.32,3568338
3/20/07,90.32,90.93,90.02,90.16,3485800
3/21/07,90.16,90.95,89.45,90.8,4230098
3/22/07,90.4,90.8,89.88,90.57,3708100
3/23/07,89.79,91.31,89.79,90.98,2304666
3/26/07,90.88,90.94,89.84,90.83,3272982
3/27/07,90.6,91,90,90.52,2687815
3/28/07,90.28,90.41,89.01,89.45,4497398
3/29/07,90.11,90.54,89.16,89.76,3521450
3/30/07,89.62,90.07,88.65,88.91,4588105
4/2/07,88.9,89.01,88.08,88.83,3440200
4/3/07,89.32,90.24,89.09,89.9,3931000
4/4/07,89.91,90.61,89.8,90.27,2555455
4/5/07,90.2,90.74,90.2,90.5,2997800
4/9/07,90.97,90.97,90.02,90.03,3155323
4/10/07,89.95,90.87,89.95,90.84,2861517
4/11/07,90.9,90.99,89.65,89.97,3464565
4/12/07,89.98,90.86,89.4,90.85,2635296
4/13/07,91.1,91.1,90.18,91.03,3035644
4/16/07,91,91.28,89.93,90.31,3747770
4/17/07,90.3,91.14,90.05,90.45,3926710
4/18/07,90.45,94.17,90.34,93.88,9490523
4/19/07,93.49,94.75,92.76,92.99,6192168
4/20/07,93.77,94.12,93.06,93.29,6035918
4/23/07,94.1,94.24,93.31,93.64,4900422
4/24/07,94.9,94.96,93.37,93.67,5761355
4/25/07,94.64,94.75,92.75,94.69,7746160
4/26/07,94.54,95.58,94.04,94.26,4839809
4/27/07,94.25,94.35,93.28,94.02,3526724
4/30/07,94.02,94.11,92.85,93,3751392
5/1/07,93.15,93.65,92.5,93.23,3241600
5/2/07,93.08,94.46,92.84,93.83,3476250
5/3/07,94.08,94.49,93.5,93.85,3089207
5/4/07,94.35,94.38,93.12,93.61,3055905
5/7/07,93.8,95,93.65,94.56,4018314
5/8/07,94.41,94.41,93.7,94.21,4427699
5/9/07,93.87,94.27,93.35,94.08,3009722
5/10/07,93.75,94.16,92.7,92.8,2664099
5/11/07,92.81,94.23,92.38,93.4,2702148
5/14/07,93.4,94.1404,93.32,93.56,2076797
5/15/07,93.98,95.45,93.79,94.34,5005871
5/16/07,94.5,95.46,94.5,95.34,4112949
5/17/07,95.34,97.18,95.23,96.79,4858621
5/18/07,97.07,97.5,96.27,96.63,4234570
5/21/07,96.42,97.74,96.25,96.9,4525238
5/22/07,97.24,97.6,96.36,96.48,3783880
5/23/07,95.95,96.45,95.36,95.57,4570582
5/24/07,95.9,98.84,95.75,97.42,7449922
5/25/07,98.3,98.64,97.3763,98.25,3249200
5/29/07,98.52,99.2,97.96,98.5,3297748
5/30/07,98.47,100.64,98.3,100.55,5803805
5/31/07,100.69,100.96,100.47,100.59,4239063
6/1/07,101.45,101.45,99.45,99.83,4056950
6/4/07,101,101,99.5,99.98,2718885
6/5/07,99.94,99.96,98.84,99.5,3276550
6/6/07,98.97,99.2,97.69,98.29,3430670
6/7/07,98.29,99.09,96.81,96.84,4713805
6/8/07,96.7,98.22,95.91,98.19,3951818
6/11/07,98.25,98.79,97.42,97.55,3345600
6/12/07,97.55,97.59,96.12,96.48,5023422
6/13/07,97.12,98.55,96.92,98.47,5333602
6/14/07,99,99.5,98.73,98.97,3435911
6/15/07,99.52,100,97.93,98.15,7178051
6/18/07,98.03,98.58,97.29,97.4,4109293
6/19/07,97.4,98.24,96.51,96.92,5120301
6/20/07,97.1,97.72,96.01,96.08,4733898
6/21/07,96.08,97.2,95.17,97.2,6300457
6/22/07,96.64,96.9,95.6,95.92,5358891
6/25/07,96,96.57,94.8,95.57,4334801
6/26/07,95.4,96.47,94.87,94.98,4364094
6/27/07,94.31,94.9,93.58,94.65,4492500
6/28/07,95,95.59,94.26,95.16,3507700
6/29/07,95.36,96.34,95.25,96.16,5786301
7/2/07,96.72,97.05,96.27,96.77,2818431
7/3/07,96.8,98.06,96.8,97.65,2131926
7/5/07,97.52,98.48,97.23,98.36,2569600
7/6/07,98.13,99.2205,98.02,98.88,2590955
7/9/07,100.99,101.32,99.6,99.9,5708879
7/10/07,100.6,100.66,99.63,100.25,6681398
7/11/07,100.48,100.83,99.56,100.12,4608301
7/12/07,100.5,100.82,99.76,100.78,4571160
7/13/07,101.18,102.43,100.6,101.88,4249801
7/16/07,102,102.17,101,102.07,3406801
7/17/07,101.91,102.73,101.4,102.05,3355000
7/18/07,101.85,102.75,100.89,101.82,4331027
7/19/07,101.63,102.82,101.63,102.48,2603190
7/20/07,102.8,104.42,102.35,103.86,6651605
7/23/07,104.48,104.549,103.22,104.04,4041800
7/24/07,103.45,105.67,103.34,103.8,5535098
7/25/07,106.98,107.83,106.38,107.23,10403426
7/26/07,106.06,106.8,102.23,103.7,10483480
7/27/07,103.6,106.39,103.6,103.71,7754699
7/30/07,104.6,106.15,104,105.54,6300926
7/31/07,106.54,106.54,103.31,103.43,6895480
8/1/07,103.03,104.84,103,104.53,6943559
8/2/07,105.02,106,104.51,105.93,4755777
8/3/07,105.5,106.35,104.22,104.24,5466602
8/6/07,104.49,104.85,102.0872,104.34,6308180
8/7/07,103.7,104.12,102.3,103.22,5306832
8/8/07,103.1,104.19,100.71,102.72,5820871
8/9/07,100.79,102.23,98.02,98.3,8723852
8/10/07,96.95,98.51,94,98.44,11381594
8/13/07,99.46,100.91,99.25,100.05,6144602
8/14/07,100.33,100.72,97.4,97.63,4854316
8/15/07,97,98.8,95.21,95.51,5328691
8/16/07,95.2,95.2,90.08,92.74,14712637
8/17/07,94.79,97.73,94.645,95.93,8418918
8/20/07,96.26,97.54,94.75,97.21,4813500
8/21/07,96.83,97.24,96.07,96.95,3203121
8/22/07,97.5,98.85,97,97.99,4185602
8/23/07,98.95,98.95,96.22,96.74,4377102
8/24/07,96.78,98.6,96.63,98.47,4350305
8/27/07,98.07,98.95,97.13,98.54,3269705
8/28/07,97.99,98.38,95.44,95.65,5336398
8/29/07,96.5,97.55,95.84,96.9,5131699
8/30/07,96.74,97.67,95.93,96.85,4113699
8/31/07,98,98.58,96.7,96.7,3964900
9/4/07,96.1,96.31,94.9,95.92,6772000
9/5/07,95.2,97.74,94.02,95.84,10775137
9/6/07,95.54,96.24,94.5,96.2,6660004
9/7/07,95.2,96.1,94.66,94.84,5669363
9/10/07,95.01,95.94,94.05,95.33,4745898
9/11/07,95.98,97.87,95.52,97.44,4806727
9/12/07,97.21,98.73,97,98.32,4407500
9/13/07,98.6,99.37,98.35,98.95,3993500
9/14/07,98.4,99.58,98.02,99.35,4217500
9/17/07,98.8,99.73,98.07,98.64,3788250
9/18/07,98.6,98.82,96.44,98.4728,9979613
9/19/07,99.4,100.7056,99.05,100.02,6918000
9/20/07,99.94,101.35,99.94,101.25,4727898
9/21/07,102.35,103.23,101.25,102.59,6631000
9/24/07,103,103.76,102.4,103.05,4912898
9/25/07,102.74,105.02,102.54,104.93,5031102
9/26/07,105.3,105.98,103.25,104.45,5037801
9/27/07,104.45,106.15,104,105.46,3984200
9/28/07,105.2,105.96,104.23,104.99,4549000
10/1/07,105.45,107,105.22,106.65,3675700
10/2/07,106.62,107.15,105.27,105.93,4595602
10/3/07,105.33,105.73,104.25,104.72,3655600
10/4/07,105.15,105.7,104.45,104.5,3451301
10/5/07,105.4,105.5,101.09,102.25,8303699
10/8/07,103.26,103.26,100.09,101.07,5319199
10/9/07,101.32,101.76,99.66,101.45,5564848
10/10/07,100.89,102.4,97.04,98.68,25304608
10/11/07,99.5,99.58,94.96,96.26,13195848
10/12/07,96.11,97.59,95.42,96.69,9506367
10/15/07,95.98,96.5,94.45,94.83,8073477
10/16/07,94.5,96.34,93.03,95.94,9845648
10/17/07,96.52,97.05,94.63,95.59,8107102
10/18/07,95.36,97.15,94.8,96.94,6762301
10/19/07,96.54,97,93.79,93.9,9208352
10/22/07,93.16,95.04,92.6,94.93,7939461
10/23/07,95.76,95.96,94.16,94.95,6109699
10/24/07,95.69,96.08,93.02,94.26,9716539
10/25/07,94.88,98.97,92,96,8169070
10/26/07,96.25,96.55,95.05,96.02,5185301
10/29/07,95.78,97.6,95.24,96.99,8934898
10/30/07,97.25,98.6,97,97.33,7546801
10/31/07,98.15,98.71,97.33,98.59,5940398
11/1/07,98.3,98.49,96.5,96.6,6408602
11/2/07,96.62,97.88,96.34,97.76,5610699
11/5/07,97.59,98.67,96.51,97.97,4459523
11/6/07,98,98.43,96.94,97.7,4090070
11/7/07,97,97.99,96.11,96.89,5731930
11/8/07,96.97,97.25,94.9,96.28,6991641
11/9/07,95.08,95.75,94.07,94.21,6132145
11/12/07,94.25,94.41,92.7,92.86,6382578
11/13/07,93.83,94.15,92.87,93.7,6511918
11/14/07,94.14,94.25,92.5,92.79,6536730
11/15/07,91.46,92.86,90.97,91.34,6701160
11/16/07,92,92.0536,89.45,89.99,9249012
11/19/07,89.6,89.92,88.12,88.27,9344766
11/20/07,88.31,88.95,86.92,87.86,8744000
11/21/07,86.78,88.5,86.75,87.41,7088141
11/23/07,88.5,89.66,88.07,89.54,3317377
11/26/07,90.5,92.39,89.86,89.93,7088422
11/27/07,90.57,92.55,90.52,91.73,7092223
11/28/07,92.61,93.83,91.76,93.61,6937516
11/29/07,93.61,94.27,92.61,93.21,4692098
