Date,Open,High,Low,Close,Volume
3/19/08,14.875,17.25,13.75,14.125,708486016
3/20/08,14.6,16.25,14.375,16.0875,198984960
3/24/08,16.81,16.925,14.75,14.9325,149694976
3/25/08,15.145,16.0625,14.955,15.8125,87165184
3/26/08,15.6825,16.12,15.3925,15.99,43139420
3/27/08,16.0125,16.185,15.6625,15.7275,39835048
3/28/08,15.8425,15.86,15.54,15.69,24698312
3/31/08,15.65,15.87,15.5125,15.59,22170640
4/1/08,15.765,15.92,15.0775,15.4025,60431876
4/2/08,15.43,15.58,15.125,15.58,43846564
4/3/08,15.4875,16.5725,15.455,16.375,100867648
4/4/08,16.225,16.33,15.9375,16.12,36396048
4/7/08,16.275,16.45,16.005,16.26,28313468
4/8/08,16.225,17.06,16.2025,17.0225,53963828
4/9/08,17.11,17.18,16.4025,16.4475,48339780
4/10/08,16.54,16.6825,16.2775,16.5275,22385124
4/11/08,16.3125,16.6925,16.3125,16.5275,26434408
4/14/08,16.675,16.81,16.3825,16.42,28446188
4/15/08,16.5725,16.6375,16,16.0875,23903376
4/16/08,16.14,16.7375,16.14,16.535,25148752
4/17/08,16.565,16.9375,16.5025,16.76,22462220
4/18/08,17.0025,17.6118,16.8,17.25,104122944
4/21/08,17.37,18.125,17.2125,17.7425,58885204
4/22/08,17.98,18.1,17.5,17.57,47378236
4/23/08,17.7375,17.925,17.4225,17.52,37336608
4/24/08,17.8,18.2475,17.51,18.075,39082420
4/25/08,19,19.02,18.4775,18.775,101459968
4/28/08,19.125,19.3225,18.725,18.9075,132517312
4/29/08,18.5375,20.22,17.75,20.22,197308096
4/30/08,20.35,21.2025,20.2675,20.8625,147543232
5/1/08,21.0975,21.91,20.975,21.35,116395328
5/2/08,21.8225,21.875,20.25,20.6875,136648512
5/5/08,20.7125,21.375,20.205,21.265,70376960
5/6/08,21.3675,22.0375,21.1875,21.8825,75912960
5/7/08,22.2075,22.46,21.915,22.125,100464512
5/8/08,22.375,22.4375,21.485,21.825,92866688
5/9/08,21.4525,21.6675,20.63,20.715,94311808
5/12/08,20.9125,21.12,19.525,20.475,147550912
5/13/08,20.4575,20.875,20.1975,20.595,53271328
5/14/08,20.825,21.0875,20.3625,20.5575,51400312
5/15/08,20.6325,20.7325,20.2775,20.5625,36728236
5/16/08,20.6775,20.7125,20.315,20.5925,34066532
5/19/08,20.5675,21.185,20.5375,20.83,45651280
5/20/08,20.72,20.96,20.4775,20.685,40706344
5/21/08,20.67,20.8575,20.13,20.2125,41831264
5/22/08,20.1425,20.15,19.04,19.3275,85317376
5/23/08,18.96,19.3275,18.78,19.0875,42223736
5/27/08,19.23,19.735,18.59,19.685,62814704
5/28/08,20.0725,20.4875,19.8875,20.48,53034688
5/29/08,20.8575,21.7375,20.7525,21.3125,100613056
5/30/08,21.505,21.89,21.4525,21.59,72048192
6/2/08,21.5525,21.7375,21.15,21.5175,36855812
6/3/08,21.7525,21.9875,21.5075,21.89,48484252
6/4/08,21.77,22.025,21.32,21.37,40704516
6/5/08,21.615,21.81,21.3975,21.81,27059468
6/6/08,21.475,21.4975,20.8875,20.9125,41771780
6/9/08,21,21.2375,20.14,20.535,45239640
6/10/08,20.075,20.7175,19.9025,20.0775,36086064
6/11/08,20.25,20.25,19.4,19.435,57036280
6/12/08,19.7375,20.1925,19.6375,19.89,44605280
